Year;Company;Weight;Revenue;Cost of Goods Sold;Gross Profit;Other Incomes;Genereal Expenses;Depreciation;EBIT;Net Interest Expense;Adjusted EBIT;Other;Taxes;Net Income;Non-Current Assets;Inventories;Receivables;Cash;Current Assets;Total Assets;Payables;Tax Paybles;Current Liabilities;Long-Term Debt;Short-Term Debt;Total Debt;Total Liabilities;Total Equity;Total Liabilities & Shareholders' Equity;Gross margin ratio;Operating margin ratio;Net Profit margin;Return on assets ratio;Capital Employed
2014;Εκδόσεις Μεταίχμιο;17%; 7.435.389,2 ;-1.619.442,5 ; 5.815.946,8   ; 15.995,9 ;-4.573.098,1 ;; 1.258.844,6 ;-265.844,0 ; 994.219,3 ;-670.336,0 ;; 323.883,3 ; 1.771.974,3 ; 1.011.256,5 ; 6.705.496,3 ; 341.598,3 ; 8.058.351,0 ; 10.104.953,3 ; 2.653.621,9 ; 326.343,0 ; 4.951.319,7 ; 600.000,0 ; 1.971.354,8 ; 2.571.354,8 ; 5.551.319,7 ; 3.142.663,0 ; 10.104.953,3 ;78,2%;13,4%;4,4%;3,2%; 5.153.633,6 
2015;Εκδόσεις Μεταίχμιο;15%; 5.881.095,7 ;-1.411.337,3 ; 4.469.758,4   ; 5.049,9 ;-4127123,86;; 347.684,5 ;-188.004,1 ; 159.680,4 ;;-64.307,4 ; 95.373,0 ; 1.796.147,6 ; 920.095,3 ;5298877,66; 183.382,7 ; 6.402.355,7 ; 8.198.503,3 ; 2.951.638,3 ; 182.726,9 ; 4.395.194,3 ; 653.041,4 ; 1.260.829,1 ; 1.913.870,5 ; 5.408.235,7 ; 3.150.267,6 ; 8.198.503,3 ;76,0%;2,7%;1,6%;1,2%; 3.803.309,0 
2016;Εκδόσεις Μεταίχμιο;16%; 6.679.272,2 ;-1.691.457,8 ; 4.987.814,4   ; 8.126,2 ;-4611496,8;; 384.443,7 ;-156.061,9 ; 228.381,8 ;;-117.073,7 ; 111.308,0 ; 1.638.808,7 ; 941.600,0 ;5391857,6; 513.473,3 ; 6.846.930,9 ; 8.485.739,6 ; 3.808.716,1 ; 223.660,1 ; 5.386.299,0 ; 472.165,2 ; 1.353.922,8 ; 1.826.088,0 ; 5.386.299,0 ; 2.961.575,6 ; 8.485.739,6 ;74,7%;3,4%;1,7%;1,3%; 3.099.440,6 
2017;Εκδόσεις Μεταίχμιο;17%; 6.899.024,9 ;-1.707.856,2 ; 5.191.168,7 ; 39.783,8 ;-4.405.552,9 ; -   ; 825.399,6 ;-150.417,2 ; 674.982,4 ; -   ;-176.763,8 ; 498.218,6 ; 1.524.463,5 ; 924.211,7 ; 4.872.000,2 ; 510.255,8 ; 6.306.467,7 ; 7.830.931,2 ; 2.073.328,1 ; 240.130,5 ; 4.167.589,9 ; 150.000,0 ; 1.854.131,3 ; 2.004.131,3 ; 4.317.589,9 ; 3.359.238,2 ; 7.830.931,2 ;75,2%;9,8%;7,2%;6,4%; 3.663.341,3 
2018;Εκδόσεις Μεταίχμιο;20%; 7.003.913,4 ;-1.788.881,5 ; 5.215.031,9 ; 32.392,6 ;-4.491.941,3 ; -   ; 755.483,2 ;-118.797,0 ; 636.686,2 ; -   ;-206.039,2 ; 430.647,0 ; 1.437.205,4 ; 956.018,3 ; 4.778.043,6 ; 473.363,8 ; 6.207.425,7 ; 7.644.631,1 ; 2.032.918,1 ; 278.272,2 ; 2.965.903,1 ; 1.018.626,8 ; 654.712,8 ; 1.673.339,5 ; 3.984.897,6 ; 3.488.217,3 ; 7.644.631,1 ;74,5%;9,1%;6,1%;5,6%; 4.678.728,0 
2019;Εκδόσεις Μεταίχμιο;17%; 7.055.357,1 ;-1.795.235,9 ; 5.260.121,2 ; 56.964,0 ;-4.466.780,5 ; -   ; 841.080,6 ;-106.540,7 ; 734.539,8 ; -   ;-182.869,9 ; 551.670,0 ; 1.372.455,5 ; 979.773,5 ; 5.013.518,5 ; 771.960,1 ; 6.765.252,1 ; 8.137.707,6 ; 2.536.943,8 ; 183.158,0 ; 3.522.914,5 ; 990.936,6 ; 802.812,8 ; 1.793.749,4 ; 4.513.851,1 ; 3.439.331,2 ; 8.137.707,6 ;74,6%;10,4%;7,8%;6,8%; 4.614.793,1 
2020;Εκδόσεις Μεταίχμιο;18%; 8.113.690,8 ;-1.919.707,5 ; 6.193.983,3 ; 133.525,0 ;-4.805.585,0 ; -   ; 1.521.923,3 ;-99.055,4 ; 1.422.867,9 ; -   ;-336.246,2 ; 1.086.621,7 ; 1.309.441,2 ; 1.010.590,1 ; 5.526.461,0 ; 2.292.786,0 ; 8.829.837,0 ; 10.139.278,2 ; 2.822.786,5 ; 343.944,2 ; 4.283.283,8 ; 1.925.895,9 ; 1.116.553,1 ; 3.042.449,0 ; 6.209.179,8 ; 3.703.184,9 ; 10.139.278,2 ;76,3%;17,5%;13,4%;10,7%; 5.855.994,4 
2011;Εκδόσεις Διόπτρα;0%;;; -    ;;;;;;;;;;;;;;;; -   ;;;;; -   ;;;;;;;; -   
2012;Εκδόσεις Διόπτρα;0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; -   
2013;Εκδόσεις Διόπτρα;3%; 1.387.857,8 ;-301.584,8 ; 1.086.272,9   ; 4.577,1 ;-1.035.659,4 ;; 55.190,7 ;-45.663,9 ; 9.526,8 ;-6.401,8 ;; 3.125,0 ; 1.849.948,5 ; 414.113,9 ; 1.137.140,1 ; 67.577,5 ; 1.618.831,4 ; 3.505.887,3 ; 873.375,2 ;47354; 983.729,2 ;1834661,16;63000; 1.897.661,2 ;2818390,38;418291,73; 3.505.887,3 ;78,3%;0,7%;0,2%;0,1%; 2.522.158,1 
